method,n_simul,n_pc,t_max,n_grid,time,lag,error_fro,rel_error_fro,error_nuc,rel_error_nuc,error_sup,rel_error_sup
CKL,1000,100,1000,1001,6.47637561750412,0,0.0046883743289326,0.00340380380741429,0.0246899290774343,0.0102840317436713,0.0296349909840909,0.00951596376107712
CKL,1000,100,1000,1001,6.47637561750412,1,0.00428935604974873,0.0031141127881771,0.0188216871463452,0.00783974824210305,0.023748598983337,0.00762580988882728
CKL,1000,100,1000,1001,6.47637561750412,2,0.00395656046374207,0.00287250006631109,0.0147691528618277,0.00615175670945884,0.0192410629791804,0.00617841450104627
CKL,1000,100,1000,1001,6.47637561750412,3,0.0056373949672211,0.00409280170632066,0.0150138293006804,0.00625367114818398,0.0208391320518061,0.00669156354809569
CKL,1000,100,1000,1001,6.47637561750412,5,0.00687470927916773,0.00499110352065786,0.0139839909447237,0.00582471526458086,0.0227595701135332,0.00730822710674497
CKL,1000,100,1000,1001,6.47637561750412,10,0.00441227391498564,0.0032033523130825,0.00966903058487903,0.0040274160834389,0.0201200723075419,0.00646066938409405
CKL,1000,100,1000,1001,6.47637561750412,20,0.00493407235985048,0.00358218288605387,0.0106280634660301,0.00442687954734963,0.013146477818999,0.00422140862396609
CKL,1000,100,1000,1001,6.47637561750412,30,0.00655055993156473,0.0047557680490994,0.0120546450584755,0.00502108985616152,0.0172460500580437,0.00553780453188488
CKL,1000,100,1000,1001,6.47637561750412,40,0.00390563108574592,0.00283552485943335,0.00938708520691277,0.00390997811073786,0.0134211651142877,0.00430961227312525
CKL,1000,100,1000,1001,6.47637561750412,60,0.00864823535830716,0.00627870011538149,0.0144941326793474,0.00603720327036604,0.0229855927656903,0.00738080426285962
CKL,1000,100,1000,1001,6.47637561750412,80,0.00572082801730484,0.00415337488448749,0.0113936730284719,0.00474577690095141,0.0167740368838725,0.0053862384233419
CKL,1000,100,1000,1001,6.47637561750412,100,0.00593058312907483,0.00430565906616243,0.0120702907230962,0.00502760670402712,0.0160689443902743,0.00515982922278268
CKL,1000,50,1000,1001,3.28451866459846,0,0.00539954474559425,0.00392012021095206,0.0375468043300009,0.0156392724495938,0.0463171894008689,0.0148727123315214
CKL,1000,50,1000,1001,3.28451866459846,1,0.00559029746595212,0.00405860847794515,0.0277076262481249,0.0115409852731382,0.0360288449853394,0.0115690665611475
CKL,1000,50,1000,1001,3.28451866459846,2,0.00536110084172274,0.00389220957558275,0.0210688474985704,0.00877575208087167,0.0290638149170588,0.00933255588496234
CKL,1000,50,1000,1001,3.28451866459846,3,0.00586562423371259,0.00425849829787758,0.0178160372436035,0.00742086751181093,0.0248366722755606,0.00797519639695054
CKL,1000,50,1000,1001,3.28451866459846,5,0.00583383477424095,0.00423541885165728,0.0137738429563996,0.0057371828712712,0.0196329843420424,0.0063042626745176
CKL,1000,50,1000,1001,3.28451866459846,10,0.00717333813714827,0.00520791087699994,0.0133802790210444,0.00557325271206889,0.0215714628744133,0.00692671913065655
CKL,1000,50,1000,1001,3.28451866459846,20,0.0108465626016835,0.00787470634610639,0.0160586098276873,0.00668885085531116,0.0298275252184342,0.00957778759621042
CKL,1000,50,1000,1001,3.28451866459846,30,0.00518659003685569,0.00376551309181955,0.0107473113736665,0.00447654956720479,0.0158418625225213,0.00508691194652993
CKL,1000,50,1000,1001,3.28451866459846,40,0.0078589612225323,0.00570567967802752,0.0139498775124789,0.0058105060856484,0.0198836672936439,0.00638475839271234
CKL,1000,50,1000,1001,3.28451866459846,60,0.00898743836759695,0.00652496468674515,0.0142412753409393,0.00593188126289271,0.0221453939656373,0.00711101166067201
CKL,1000,50,1000,1001,3.28451866459846,80,0.00644117552276699,0.00467635394070795,0.0116470396955575,0.00485131105776996,0.0218449557749101,0.00701453925287074
CKL,1000,50,1000,1001,3.28451866459846,100,0.00448722672731542,0.00325776875897294,0.0103613812561098,0.00431579910221381,0.0130413567230892,0.00418765364358701
CKL,1000,30,1000,1001,2.05921439576149,0,0.00729505399335488,0.00529627773205716,0.05765383149495,0.0240144000162497,0.064133223536619,0.0205935419849849
CKL,1000,30,1000,1001,2.05921439576149,1,0.0071045837544374,0.00515799454924354,0.0410634794075773,0.0171040639448042,0.0488679116370232,0.0156917637149636
CKL,1000,30,1000,1001,2.05921439576149,2,0.00638041687205594,0.00463224258949878,0.0294556474973795,0.0122690840035787,0.0347962769016312,0.0111732819555803
CKL,1000,30,1000,1001,2.05921439576149,3,0.00628713766581323,0.0045645210094615,0.0227468874671584,0.00947470169105424,0.0259284336607654,0.00832576717265716
CKL,1000,30,1000,1001,2.05921439576149,5,0.00615198920223128,0.00446640195525809,0.0158354853106751,0.00659591338236221,0.0199769310779102,0.00641470592304147
CKL,1000,30,1000,1001,2.05921439576149,10,0.0072364374113102,0.00525372154282328,0.0129651242018279,0.00540032935834156,0.0212526453262095,0.00682434500688067
CKL,1000,30,1000,1001,2.05921439576149,20,0.00663809905813769,0.00481932227737165,0.0114270424728792,0.00475967618857098,0.0180355144380017,0.00579130602390064
CKL,1000,30,1000,1001,2.05921439576149,30,0.00586795868925499,0.00426019313453224,0.0111845209851532,0.00465865934601648,0.0161887203612705,0.00519828996670729
CKL,1000,30,1000,1001,2.05921439576149,40,0.00594850515482369,0.00431867062522333,0.0109515220149197,0.00456160889282933,0.0148370508705512,0.0047642612235387
CKL,1000,30,1000,1001,2.05921439576149,60,0.0050189753336564,0.0036438232426521,0.0107307235533433,0.0044696402856825,0.0150183793374262,0.00482248682315369
CKL,1000,30,1000,1001,2.05921439576149,80,0.00728613887816076,0.00528980527467379,0.0122552915753306,0.00510466462634912,0.0204827541042697,0.00657712856696735
CKL,1000,30,1000,1001,2.05921439576149,100,0.00802899936088893,0.005829128963886,0.0136168723914791,0.00567180033139426,0.0203134505602128,0.00652276423830155
CKL,1000,1000,1000,1001,63.2644563200474,0,0.00276668443439931,0.00200863889079997,0.00973067252184064,0.00405309163862038,0.0125994650932761,0.00404575973385435
CKL,1000,1000,1000,1001,63.2644563200474,1,0.0035291197996955,0.00256217412865145,0.0104522167133837,0.00435363455824635,0.0144788874940218,0.00464925293102973
CKL,1000,1000,1000,1001,63.2644563200474,2,0.0029802786845182,0.00216371032298273,0.00943036702340599,0.0039280061728414,0.0102325003738548,0.00328571393171954
CKL,1000,1000,1000,1001,63.2644563200474,3,0.00365242270707005,0.00265169319776603,0.0100088713874563,0.00416896908630653,0.0127854586527705,0.00410548332118029
CKL,1000,1000,1000,1001,63.2644563200474,5,0.00457759034033805,0.0033233735909421,0.0110300752803907,0.0045943284795539,0.0153362121432955,0.00492454474057832
CKL,1000,1000,1000,1001,63.2644563200474,10,0.00582672796400486,0.00423025924066145,0.0121898369414044,0.00507740097844812,0.0161437363425976,0.00518384534306126
CKL,1000,1000,1000,1001,63.2644563200474,20,0.00845717409805516,0.00613998784552672,0.0150011796064099,0.00624840220403198,0.0196945782796798,0.00632404083739181
CKL,1000,1000,1000,1001,63.2644563200474,30,0.00796229632833656,0.00578070193561594,0.0143805018547274,0.00598987291944495,0.0211727707180433,0.0067986968169707
CKL,1000,1000,1000,1001,63.2644563200474,40,0.00364023392606076,0.00264284402824662,0.0102476102854957,0.00426841037664743,0.0136466503189098,0.00438201685178681
CKL,1000,1000,1000,1001,63.2644563200474,60,0.0100628570675185,0.00730572876583501,0.0169512062740855,0.00706064172438404,0.0284465831876083,0.00913435927431411
CKL,1000,1000,1000,1001,63.2644563200474,80,0.00696413341632459,0.00505602628432263,0.0140542165600133,0.00585396615690185,0.0223375446270018,0.00717271232834533
CKL,1000,1000,1000,1001,63.2644563200474,100,0.0086590850360944,0.00628657708338159,0.0156246064155435,0.00650807654634693,0.0225329589146388,0.00723546096493337
CKL,1000,20,1000,1001,1.47120702385903,0,0.010180144176084,0.00739088030849917,0.0810871365834135,0.0337750134482724,0.0892746381984826,0.0286665928913591
CKL,1000,20,1000,1001,1.47120702385903,1,0.00807509550771607,0.00586259519952957,0.055149758887213,0.0229713851859656,0.0642297336550262,0.0206245319316271
CKL,1000,20,1000,1001,1.47120702385903,2,0.00638573777246984,0.0046361056131861,0.0377711182519377,0.0157327053422729,0.045487090763805,0.0146061629489803
CKL,1000,20,1000,1001,1.47120702385903,3,0.00695862999431984,0.00505203074824567,0.0292021645223475,0.0121635014013147,0.0358303953592456,0.0115053432601578
CKL,1000,20,1000,1001,1.47120702385903,5,0.00560693949309506,0.0040706907459933,0.0167594816067,0.00698078314887927,0.0222417912247302,0.00714196536754803
CKL,1000,20,1000,1001,1.47120702385903,10,0.00337571511292196,0.0024508008849041,0.00865509922403334,0.00360508589900872,0.00988705806129909,0.00317479044503491
CKL,1000,20,1000,1001,1.47120702385903,20,0.00679060305593125,0.00493004161245807,0.0116854320854573,0.00486730253977083,0.0181556459818449,0.00582988094428404
CKL,1000,20,1000,1001,1.47120702385903,30,0.00772503218574632,0.00560844593913381,0.0132080617942167,0.00550151951988562,0.0204068161795641,0.00655274446845429
CKL,1000,20,1000,1001,1.47120702385903,40,0.00527254955870985,0.00382792051222647,0.0110611446640916,0.00460726972888815,0.0144099818856553,0.00462712694919619
CKL,1000,20,1000,1001,1.47120702385903,60,0.00657510633824493,0.00477358897094874,0.01169267356916,0.0048703188160848,0.0199883581143927,0.00641837520929576
CKL,1000,20,1000,1001,1.47120702385903,80,0.00382654400515881,0.00277810689594899,0.00841257463960957,0.00350406776659479,0.0127819610272155,0.00410436021376821
CKL,1000,20,1000,1001,1.47120702385903,100,0.00846643228426649,0.00614670937569153,0.0138014775935493,0.00574869345458558,0.0204929622572355,0.00658040646280817
CKL,1000,10,1000,1001,0.831517477035521,0,0.024320205761802,0.0176566978575636,0.149183959456159,0.0621392054178042,0.156232943281992,0.0501672845912443
